station,name,lat,lon,elev
57399,Macheng (China),31.13305556,114.95,75
57411,Gaoping (China),30.74555556,106.1316667,347
57426,Liangping (China),30.68305556,107.7997222,455
57447,Enshi (China),30.28305556,109.4666667,458
57461,Yichang (China),30.73305556,111.3666667,257
57476,Jiangling (China),30.35,112.15,33
57494,Wuhan (China),30.6,114.0497222,24
57503,Neijiang (China),29.61666667,105.1166667,349
57516,Chongqing (China),29.58305556,106.4666667,541
57554,Sangzhi (China),29.39972222,110.1666667,322
57584,Yueyang (China),29.38305556,113.0830556,52
57598,Xiushui (China),29.03305556,114.5830556,147
57604,Naxi (China),28.78305556,105.3830556,364
57633,Youyang (China),28.83305556,108.7666667,665
57655,Yuanling (China),28.46666667,110.4,143
57662,Changde (China),29.05,111.6830556,35
57687,Changsha (China),28.11666667,112.7830556,119
57707,Bijie (China),27.3,105.2330556,1511
57712,Huichuan (China),27.73305556,106.95,984
57731,Sinan (China),27.92972222,108.25,575
57745,Zhijiang (China),27.44972222,109.6830556,273
57766,Shaoyang (China),27.18305556,111.45,310
57776,Nanyue (China),27.3,112.7,1279
57793,Yichun (China),27.8,114.3830556,129
57799,Ji'An (China),27.11666667,114.9666667,78
57816,Guiyang (China),26.58305556,106.7330556,1074
57832,Sansui (China),26.96666667,108.6666667,611
57845,Tongdao (China),26.16666667,109.7830556,397
57853,Wugang (China),26.73305556,110.6330556,340
57866,Lingling (China),26.23305556,111.6166667,174
57902,Xingren (China),25.43305556,105.1830556,1379
57916,Luodian (China),25.43305556,106.7666667,441
57922,Dushan (China),25.83305556,107.5497222,1018
57932,Rongjiang (China),25.96666667,108.5330556,287
57957,Guilin (China),25.33305556,110.2997222,166
57972,Chenzhou (China),25.73527778,112.9738889,368
57993,Ganzhou (China),25.86666667,115,134
58027,Xuzhou (China),34.28305556,117.15,42
58040,Ganyu (China),34.85,119.1330556,10
58102,Boxian (China),33.79138889,115.7352778,40
58141,Huaiyin (China),33.63305556,118.9330556,13
58150,Sheyang (China),33.75,120.2997222,3
58203,Fuyang (China),32.86666667,115.7330556,33
58208,Gushi (China),32.25,115.6297222,37
58221,Bengbu (China),32.85,117.2997222,28
58238,Nanjing (China),31.93305556,118.9,32
58251,Dongtai (China),32.85,120.2830556,5
58265,Lusi (China),32.08305556,121.5330556,4
58314,Huoshan (China),31.39972222,116.3330556,68
58321,Hefei (China),31.94972222,117.0497222,50
58338,Wuhuxian (China),31.11666667,118.5830556,18
58345,Liyang (China),31.43305556,119.4830556,8
58362,Shanghai (China),31.41666667,121.45,8
58424,Anqing (China),30.61666667,116.9666667,62
58437,Huang Shan (China),30.13305556,118.15,1836
58457,Hangzhou (China),30.23305556,120.1666667,43
58472,Shengsi (China),30.73305556,122.45,81
58477,Dinghai (China),30.03305556,122.1166667,37
58506,Lu Shan (China),29.58305556,115.9830556,1165
58527,Jingdezhen (China),29.31194444,117.1683333,94
